Sex,Species,Start,Finish,Transfer
Male,Human,Personnel,Resigned,yes
Male,Human,Engineering,Marines,no
Male,Human,Tactical,Tactical,yes
Male,Human,Medical,Medical,no
Female,Human,Medical,Intelligence,yes
Male,Human,Medical,Personnel,no
Female,Human,Security,Medical,no
Male,Human,Engineering,Engineering,yes
Male,Human,Engineering,Engineering,no
Male,Human,Marines,Marines,yes
Female,Human,Medical,Medical,no
Male,Human,Marines,Resigned,no
Male,Human,Personnel,Tactical,yes
Male,Betazoid,Tactical,Resigned,no
Male,Human,Marines,Resigned,no
Male,Human,Engineering,Engineering,no
Male,Human,Tactical,Intelligence,no
Male,Human,Tactical,Marines,no
Female,Human,Marines,Resigned,no
Male,Betazoid,Tactical,Tactical,no
Female,Vulcan,Security,Resigned,no
Male,Human,Security,Security,no
Male,Human,Tactical,Tactical,no
Female,Bajoran,Medical,Medical,no
Male,Human,Medical,Medical,no
Female,Human,Tactical,Tactical,no
Male,Human,Tactical,Tactical,no
Male,Human,Personnel,Medical,no
Male,Human,Tactical,Resigned,no
Male,Human,Tactical,Resigned,no
Male,Human,Personnel,Medical,no
Male,Human,Medical,Tactical,no
Male,Human,Tactical,Tactical,no
Male,Human,Tactical,Tactical,no
Male,Human,Security,Resigned,no
Male,Betazoid,Security,Resigned,no
Male,Human,Marines,Tactical,no
Female,Human,Marines,Resigned,no
Male,Human,Security,Resigned,no
Male,Bajoran,Security,Security,no
Male,Human,Marines,Resigned,no
Male,Bajoran,Engineering,Marines,no
Male,Bajoran,Marines,Intelligence,no
Male,Human,Tactical,Tactical,no
Male,Bajoran,Tactical,Tactical,no
Male,Betazoid,Engineering,Resigned,no
Female,Betazoid,Marines,Intelligence,no
Male,Bajoran,Personnel,Security,no
Male,Human,Tactical,Tactical,no
Male,Human,Marines,Tactical,no
Male,Human,Marines,Engineering,no
Male,Human,Marines,Medical,no
Male,Human,Medical,Medical,yes
Male,Human,Medical,Resigned,no
Female,Human,Medical,Medical,yes
Female,Human,Marines,Tactical,no
Male,Human,Tactical,Intelligence,no
Male,Human,Marines,Tactical,no
Male,Human,Marines,Tactical,no
Male,Human,Tactical,Tactical,no
Male,Human,Marines,Personnel,no
Male,Human,Tactical,Intelligence,no
Male,Human,Security,Marines,no
Male,Human,Engineering,Engineering,no
Male,Human,Marines,Security,no
Female,Human,Medical,Resigned,yes
Male,Human,Marines,Tactical,no
Female,Human,Personnel,Medical,no
Male,Human,Tactical,Intelligence,no
Female,Human,Medical,Medical,no
Female,Human,Intelligence,Engineering,no
Male,Human,Marines,Medical,no
Male,Human,Marines,Medical,no
Male,Human,Tactical,Resigned,no
Male,Human,Tactical,Resigned,no
Male,Human,Tactical,Tactical,no
Female,Human,Personnel,Security,no
Female,Human,Marines,Security,no
Male,Human,Security,Security,no
Female,Human,Marines,Resigned,no
Male,Human,Tactical,Resigned,no
Male,Human,Tactical,Resigned,no
Male,Human,Tactical,Resigned,no
Male,Human,Intelligence,Resigned,no
Male,Human,Marines,Marines,no
Male,Human,Tactical,Tactical,no
Male,Human,Medical,Resigned,no
Male,Human,Marines,Tactical,no
Male,Human,Tactical,Tactical,no
Male,Human,Tactical,Tactical,no
Male,Human,Medical,Intelligence,no
Male,Vulcan,Personnel,Tactical,no
Male,Human,Tactical,Resigned,yes
Female,Human,Marines,Tactical,no
Female,Human,Medical,Resigned,no
Female,Betazoid,Tactical,Tactical,no
Male,Human,Tactical,Marines,no
Male,Human,Security,Security,no
Male,Human,Security,Security,no
Male,Human,Tactical,Tactical,no
Male,Human,Marines,Tactical,no
Male,Human,Personnel,Tactical,no
Male,Human,Marines,Personnel,no
Male,Human,Tactical,Personnel,no
Male,Human,Marines,Resigned,no
Male,Human,Tactical,Tactical,no
Male,Human,Tactical,Personnel,no
Male,Human,Medical,Resigned,no
