CPH-L-131B. Size of Household--Households by Total Money Income in 1989, by State,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
------------------------------------------------------------------------------------------------------------,,,,,,,
                              Total,1-Person,2-Person,3-Person,4-Person,5-Person,6+-Persons,
State,households,households,households,households,households,households,households
------------------------------------------------------------------------------------------------------------,,,,,,,
UNITED STATES,,,,,,,
,,,,,,,
  Total,"91,993,582","22,421,114","29,379,586","15,962,545","13,956,079","6,445,357","3,828,901"
"Less than $5,000","5,684,517","3,133,102","1,110,021","654,919","424,657","209,023","152,795"
"$5,000 to $9,999","8,529,980","4,794,603","1,920,691","805,991","530,572","276,289","201,834"
"$10,000 to $12,499","4,365,873","1,870,742","1,344,979","498,885","338,178","180,655","132,434"
"$12,500 to $14,999","3,767,400","1,358,942","1,324,321","470,640","320,274","166,569","126,654"
"$15,000 to $17,499","4,260,641","1,459,614","1,468,477","576,427","406,782","205,608","143,733"
"$17,500 to $19,999","3,844,339","1,155,865","1,393,256","551,371","402,729","201,758","139,360"
"$20,000 to $22,499","4,395,954","1,285,519","1,541,983","652,452","506,541","252,123","157,336"
"$22,500 to $24,999","3,622,808","884,984","1,340,173","583,045","450,607","223,020","140,979"
"$25,000 to $27,499","4,105,099","1,002,987","1,425,362","686,877","561,145","268,740","159,988"
"$27,500 to $29,999","3,328,905","666,462","1,204,774","596,197","491,490","232,804","137,178"
"$30,000 to $32,499","4,108,519","885,773","1,361,887","733,251","658,529","301,888","167,191"
"$32,500 to $34,999","3,032,602","466,211","1,077,753","594,171","519,004","239,822","135,641"
"$35,000 to $37,499","3,487,169","580,910","1,164,752","680,884","625,873","283,606","151,144"
"$37,500 to $39,999","2,727,253","350,720","942,348","559,498","516,730","230,646","127,311"
"$40,000 to $42,499","3,254,665","457,288","1,068,914","659,436","643,792","281,285","143,950"
"$42,500 to $44,999","2,360,699","233,185","801,961","516,555","482,155","212,859","113,984"
"$45,000 to $47,499","2,565,438","263,880","850,189","554,800","539,779","233,985","122,805"
"$47,500 to $49,999","2,033,231","169,987","679,107","455,456","437,911","188,287","102,483"
"$50,000 to $54,999","4,078,012","348,281","1,336,247","905,525","900,024","385,808","202,127"
"$55,000 to $59,999","3,135,172","196,082","1,031,356","729,851","709,686","303,531","164,666"
"$60,000 to $74,499","6,564,699","371,242","2,115,214","1,546,459","1,517,643","654,966","359,175"
"$75,000 to $99,999","4,704,808","227,985","1,499,612","1,101,306","1,095,433","488,428","292,044"
"$100,000 to $124,999","1,831,758","105,203","595,312","402,169","412,327","194,316","122,431"
"$125,000 to $149,999","762,010","43,063","261,200","162,726","162,316","80,455","52,250"
"$150,000 or more","1,442,031","108,484","519,697","283,654","301,902","148,886","79,408"
Median (dollars),"30,056","15,091","31,130","37,119","40,873","39,459","36,974"
,,,,,,,
,,,,,,,
ALABAMA,,,,,,,
,,,,,,,
  Total,"1,506,009","354,918","478,471","284,277","237,174","99,577","51,592"
"Less than $5,000","159,594","90,974","29,968","17,169","11,515","5,702","4,266"
"$5,000 to $9,999","178,304","84,753","52,197","19,636","11,307","5,952","4,459"
"$10,000 to $12,499","87,687","28,920","31,201","12,628","8,321","3,967","2,650"
"$12,500 to $14,999","73,372","21,121","27,017","12,044","7,142","3,515","2,533"
"$15,000 to $17,499","80,452","21,027","28,331","14,234","9,432","4,442","2,986"
"$17,500 to $19,999","69,295","15,826","25,202","12,398","9,068","4,383","2,418"
"$20,000 to $22,499","77,582","16,760","27,048","14,434","11,558","4,973","2,809"
"$22,500 to $24,999","60,915","10,371","22,186","12,356","9,386","4,166","2,450"
"$25,000 to $27,499","68,890","12,198","23,477","13,894","11,906","4,883","2,532"
"$27,500 to $29,999","55,259","7,546","20,042","11,552","9,738","4,465","1,916"
"$30,000 to $32,499","66,054","10,139","21,451","13,753","13,277","5,067","2,367"
"$32,500 to $34,999","46,312","4,903","15,804","10,457","9,911","3,585","1,652"
"$35,000 to $37,499","52,327","5,291","16,857","12,454","11,456","4,456","1,813"
"$37,500 to $39,999","40,353","3,690","13,110","9,578","8,976","3,377","1,622"
"$40,000 to $42,499","46,500","4,241","14,451","11,438","10,287","4,372","1,711"
"$42,500 to $44,999","32,960","1,932","10,670","8,477","7,669","2,891","1,321"
"$45,000 to $47,499","34,693","2,420","10,442","8,896","8,300","3,175","1,460"
"$47,500 to $49,999","27,921","1,602","9,045","6,896","6,688","2,587","1,103"
"$50,000 to $54,999","53,863","3,037","16,479","13,166","13,707","5,413","2,061"
"$55,000 to $59,999","40,469","1,700","12,494","10,636","10,269","3,877","1,493"
"$60,000 to $74,499","74,358","2,892","23,328","19,228","19,311","6,776","2,823"
"$75,000 to $99,999","44,820","1,840","14,885","11,304","10,793","4,126","1,872"
"$100,000 to $124,999","15,298",662,"5,737","3,567","3,362","1,405",565
"$125,000 to $149,999","6,217",305,"2,378","1,424","1,113",737,260
"$150,000 or more","12,514",768,"4,671","2,658","2,682","1,285",450
Median (dollars),"23,597","10,150","24,559","30,326","33,998","31,648","26,210"
,,,,,,,
,,,,,,,
ALASKA,,,,,,,
,,,,,,,
  Total,"189,700","41,510","54,822","34,314","33,073","15,991","9,990"
