"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Age Group"	"Age Group Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"1989"	"1989"	288	30405	947.2
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"1990"	"1990"	305	30809	990.0
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"1991"	"1991"	314	30733	1021.7
	"Alabama"	"01"	"Female"	"F"	"1-4 years"	"1-4"	"1989"	"1989"	58	112782	51.4
	"Alabama"	"01"	"Female"	"F"	"1-4 years"	"1-4"	"1990"	"1990"	50	111877	44.7
	"Alabama"	"01"	"Female"	"F"	"1-4 years"	"1-4"	"1991"	"1991"	54	112010	48.2
	"Alabama"	"01"	"Female"	"F"	"5-9 years"	"5-9"	"1989"	"1989"	32	144564	22.1
	"Alabama"	"01"	"Female"	"F"	"5-9 years"	"5-9"	"1990"	"1990"	33	143109	23.1
	"Alabama"	"01"	"Female"	"F"	"5-9 years"	"5-9"	"1991"	"1991"	30	140441	21.4
	"Alabama"	"01"	"Female"	"F"	"10-14 years"	"10-14"	"1989"	"1989"	25	145850	17.1
	"Alabama"	"01"	"Female"	"F"	"10-14 years"	"10-14"	"1990"	"1990"	36	146490	24.6
	"Alabama"	"01"	"Female"	"F"	"10-14 years"	"10-14"	"1991"	"1991"	32	148295	21.6
	"Alabama"	"01"	"Female"	"F"	"15-19 years"	"15-19"	"1989"	"1989"	104	160387	64.8
	"Alabama"	"01"	"Female"	"F"	"15-19 years"	"15-19"	"1990"	"1990"	100	158480	63.1
	"Alabama"	"01"	"Female"	"F"	"15-19 years"	"15-19"	"1991"	"1991"	96	153085	62.7
	"Alabama"	"01"	"Female"	"F"	"20-24 years"	"20-24"	"1989"	"1989"	93	157425	59.1
	"Alabama"	"01"	"Female"	"F"	"20-24 years"	"20-24"	"1990"	"1990"	89	154825	57.5
	"Alabama"	"01"	"Female"	"F"	"20-24 years"	"20-24"	"1991"	"1991"	113	161704	69.9
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"1989"	"1989"	308	333479	92.4
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"1990"	"1990"	308	331598	92.9
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"1991"	"1991"	343	330201	103.9
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"1989"	"1989"	514	291095	176.6
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"1990"	"1990"	529	298583	177.2
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"1991"	"1991"	546	315131	173.3
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"1989"	"1989"	858	214894	399.3
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"1990"	"1990"	902	217347	415.0
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"1991"	"1991"	901	223495	403.1
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"1989"	"1989"	1792	195823	915.1
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"1990"	"1990"	1928	195948	983.9
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"1991"	"1991"	1908	197408	966.5
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"1989"	"1989"	3699	171235	2160.2
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"1990"	"1990"	3698	171946	2150.7
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"1991"	"1991"	3686	173724	2121.8
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"1989"	"1989"	5823	108851	5349.5
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"1990"	"1990"	5759	110615	5206.3
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"1991"	"1991"	5812	112540	5164.4
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"1989"	"1989"	4915	33365	14731.0
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"1990"	"1990"	4957	34303	14450.6
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"1991"	"1991"	5186	36887	14059.2
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"1989"	"1989"	467	32163	1452.0
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"1990"	"1990"	383	32678	1172.0
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"1991"	"1991"	391	32077	1218.9
	"Alabama"	"01"	"Male"	"M"	"1-4 years"	"1-4"	"1989"	"1989"	67	118490	56.5
	"Alabama"	"01"	"Male"	"M"	"1-4 years"	"1-4"	"1990"	"1990"	76	117615	64.6
	"Alabama"	"01"	"Male"	"M"	"1-4 years"	"1-4"	"1991"	"1991"	76	117601	64.6
	"Alabama"	"01"	"Male"	"M"	"5-9 years"	"5-9"	"1989"	"1989"	45	151359	29.7
	"Alabama"	"01"	"Male"	"M"	"5-9 years"	"5-9"	"1990"	"1990"	54	149866	36.0
	"Alabama"	"01"	"Male"	"M"	"5-9 years"	"5-9"	"1991"	"1991"	50	147128	34.0
	"Alabama"	"01"	"Male"	"M"	"10-14 years"	"10-14"	"1989"	"1989"	74	151922	48.7
	"Alabama"	"01"	"Male"	"M"	"10-14 years"	"10-14"	"1990"	"1990"	70	152354	45.9
	"Alabama"	"01"	"Male"	"M"	"10-14 years"	"10-14"	"1991"	"1991"	70	154604	45.3
	"Alabama"	"01"	"Male"	"M"	"15-19 years"	"15-19"	"1989"	"1989"	201	164867	121.9
	"Alabama"	"01"	"Male"	"M"	"15-19 years"	"15-19"	"1990"	"1990"	283	162828	173.8
	"Alabama"	"01"	"Male"	"M"	"15-19 years"	"15-19"	"1991"	"1991"	270	157405	171.5
	"Alabama"	"01"	"Male"	"M"	"20-24 years"	"20-24"	"1989"	"1989"	273	154252	177.0
