Canada-Alberta, Deaths (1x1)     Last modified: 31-Jul-2014, MPv5 (May07)

Year     Age        Female             Male            Total
1921      0            583.28           808.28          1391.56
1921      1             82.04           114.04           196.08
1921      2             47.02            47.02            94.04
1921      3             39.02            54.02            93.04
1921      4             30.01            30.01            60.02
1921      5             34.02            35.01            69.03
1921      6             29.01            23.01            52.02
1921      7             36.02            37.01            73.03
1921      8             27.01            25.01            52.02
1921      9             23.01            30.01            53.02
1921     10             12.01            14.00            26.01
1921     11             12.01            13.00            25.01
1921     12             14.01            12.00            26.01
1921     13             16.01            15.01            31.02
1921     14             14.01            15.01            29.02
1921     15              9.00            13.00            22.00
1921     16              9.00            18.01            27.01
1921     17              3.00            18.01            21.01
1921     18             23.01            14.00            37.01
1921     19             13.01            19.01            32.02
1921     20             14.01            12.00            26.01
1921     21             13.01            21.01            34.02
1921     22             13.01            14.00            27.01
1921     23             21.01            23.01            44.02
1921     24             19.01            16.01            35.02
1921     25             16.01            21.01            37.02
1921     26             21.01            12.00            33.01
1921     27              9.00            18.01            27.01
1921     28             19.01            17.01            36.02
1921     29             20.01            13.00            33.01
1921     30             26.01            18.01            44.02
1921     31             15.01            21.01            36.02
1921     32             21.01            21.01            42.02
1921     33             21.01            24.01            45.02
1921     34             18.01            21.01            39.02
1921     35             28.01            32.01            60.02
1921     36             21.01            23.01            44.02
1921     37             21.01            14.00            35.01
1921     38             22.01            28.01            50.02
1921     39             15.01            23.01            38.02
1921     40             15.01            28.01            43.02
1921     41             12.01            24.01            36.02
1921     42             10.00            29.01            39.01
1921     43             22.01            30.01            52.02
1921     44             14.01            21.01            35.02
1921     45             15.01            33.01            48.02
1921     46             10.00            18.01            28.01
1921     47             11.01            31.01            42.02
1921     48             13.01            20.01            33.02
1921     49             16.01            34.01            50.02
1921     50             15.01            28.01            43.02
1921     51             16.01            14.00            30.01
1921     52             20.01            31.01            51.02
1921     53             13.01            18.01            31.02
1921     54             10.00            20.01            30.01
1921     55             13.01            31.01            44.02
1921     56             13.01            32.01            45.02
1921     57             16.01            24.01            40.02
1921     58             11.01            34.01            45.02
1921     59             23.01            24.01            47.02
1921     60             20.01            21.01            41.02
1921     61             19.01            28.01            47.02
1921     62             17.01            42.01            59.02
1921     63              7.00            34.01            41.01
1921     64             15.01            27.01            42.02
1921     65             19.01            27.01            46.02
1921     66             18.01            18.01            36.02
1921     67             22.01            29.01            51.02
1921     68             19.01            26.01            45.02
1921     69             12.01            23.01            35.02
1921     70             18.01            31.01            49.02
1921     71             11.01            26.01            37.02
1921     72             13.01            25.01            38.02
1921     73             17.01            16.01            33.02
1921     74             16.01            28.01            44.02
1921     75              6.00            15.01            21.01
1921     76              7.00            20.01            27.01
1921     77              8.00            20.01            28.01
1921     78             13.01            21.01            34.02
1921     79              8.00            13.00            21.00
1921     80             17.01            18.01            35.02
1921     81              3.00             8.00            11.00
1921     82              9.00            11.00            20.00
1921     83             11.01             9.00            20.01
1921     84              8.00            10.00            18.00
1921     85              4.00            11.00            15.00
1921     86              7.00             8.00            15.00
1921     87              7.00             4.00            11.00
1921     88              3.00             6.00             9.00
1921     89              2.00             4.00             6.00
1921     90              2.00             1.00             3.00
1921     91              2.00             0.00             2.00
1921     92              2.00             2.00             4.00
1921     93              1.00             1.00             2.00
1921     94              0.00             1.00             1.00
1921     95              0.00             0.00             0.00
1921     96              2.00             0.00             2.00
1921     97              0.00             1.00             1.00
1921     98              0.00             0.00             0.00
1921     99              0.00             0.00             0.00
1921    100              0.00             2.00             2.00
1921    101              0.00             0.00             0.00
1921    102              0.00             0.00             0.00
1921    103              0.00             0.00             0.00
1921    104              0.00             0.00             0.00
1921    105              0.00             0.00             0.00
1921    106              0.00             0.00             0.00
1921    107              0.00             0.00             0.00
1921    108              0.00             0.00             0.00
1921    109              0.00             0.00             0.00
1921    110+             0.00             0.00             0.00
1922      0            637.56           838.56          1476.12
1922      1             85.07           112.08           197.15
1922      2             43.04            63.04           106.08
1922      3             18.02            34.02            52.04
1922      4             25.02            37.02            62.04
1922      5             29.03            31.02            60.05
1922      6             31.03            28.02            59.05
1922      7             15.01            33.02            48.03
1922      8             26.02            25.02            51.04
1922      9             19.02            31.02            50.04
1922     10             23.02            26.02            49.04
1922     11             17.01            16.01            33.02
1922     12             25.02            17.01            42.03
1922     13             15.01            15.01            30.02
1922     14             13.01            23.02            36.03
1922     15             14.01             7.00            21.01
1922     16             14.01            16.01            30.02
1922     17             16.01            14.01            30.02
1922     18             14.01            18.01            32.02
1922     19             14.01            15.01            29.02
1922     20             12.01            19.01            31.02
1922     21             18.02            11.01            29.03
1922     22             12.01            13.01            25.02
1922     23             18.02            12.01            30.03
1922     24             19.02            17.01            36.03
1922     25             24.02            12.01            36.03
1922     26             22.02            14.01            36.03
1922     27             24.02            19.01            43.03
1922     28             18.02            21.01            39.03
1922     29             17.01            18.01            35.02
1922     30             13.01            29.02            42.03
1922     31             13.01            16.01            29.02
1922     32             25.02            23.02            48.04
1922     33             23.02            19.01            42.03
1922     34             25.02            22.01            47.03
1922     35             25.02            27.02            52.04
1922     36             18.02            31.02            49.04
1922     37             20.02            22.01            42.03
1922     38             32.03            29.02            61.05
1922     39             24.02            21.01            45.03
1922     40             28.02            40.03            68.05
1922     41             15.01            18.01            33.02
1922     42             26.02            38.03            64.05
1922     43             17.01            27.02            44.03
1922     44             16.01            22.01            38.02
1922     45             23.02            34.02            57.04
1922     46             17.01            15.01            32.02
1922     47             15.01            14.01            29.02
1922     48             15.01            30.02            45.03
1922     49             11.01            20.01            31.02
1922     50             17.01            32.02            49.03
1922     51             18.02            21.01            39.03
1922     52             19.02            30.02            49.04
1922     53             15.01            28.02            43.03
1922     54             15.01            28.02            43.03
1922     55             22.02            37.02            59.04
1922     56             19.02            27.02            46.04
1922     57              9.01            21.01            30.02
1922     58             23.02            27.02            50.04
1922     59             21.02            25.02            46.04
