Canada-Alberta,  Population size (1-year)     Last modified: 31-Jul-2014, MPv5 (May07)

Year     Age      Female         Male        Total
1921       0       7864.85      8133.86     15998.71
1921       1       7936.45      8142.91     16079.36
1921       2       8024.81      8240.34     16265.15
1921       3       8017.72      8244.01     16261.73
1921       4       7925.59      8154.78     16080.37
1921       5       7760.15      7991.74     15751.89
1921       6       7530.77      7768.78     15299.55
1921       7       7250.42      7495.09     14745.51
1921       8       6926.93      7181.14     14108.07
1921       9       6568.14      6829.25     13397.39
1921      10       6177.87      6440.22     12618.09
1921      11       5832.52      6104.80     11937.32
1921      12       5561.03      5857.21     11418.24
1921      13       5341.23      5669.97     11011.20
1921      14       5112.95      5478.27     10591.22
1921      15       4892.53      5302.30     10194.83
1921      16       4701.44      5147.45      9848.89
1921      17       4557.01      5008.00      9565.01
1921      18       4443.74      4893.96      9337.70
1921      19       4335.37      4802.62      9137.99
1921      20       4242.44      4727.01      8969.45
1921      21       4193.10      4715.80      8908.90
1921      22       4206.80      4791.34      8998.14
1921      23       4257.77      4926.20      9183.97
1921      24       4307.79      5066.55      9374.34
1921      25       4373.23      5218.20      9591.43
1921      26       4413.78      5367.80      9781.58
1921      27       4416.12      5502.71      9918.83
1921      28       4398.57      5618.82     10017.39
1921      29       4380.57      5734.92     10115.49
1921      30       4349.79      5840.96     10190.75
1921      31       4315.48      5940.86     10256.34
1921      32       4288.50      6041.31     10329.81
1921      33       4251.02      6126.01     10377.03
1921      34       4206.56      6193.16     10399.72
1921      35       4154.39      6249.91     10404.30
1921      36       4058.43      6195.33     10253.76
1921      37       3915.18      6007.38      9922.56
1921      38       3732.31      5722.93      9455.24
1921      39       3546.45      5429.52      8975.97
1921      40       3357.88      5117.56      8475.44
1921      41       3164.44      4816.76      7981.20
1921      42       2981.03      4553.45      7534.48
1921      43       2798.83      4307.44      7106.27
1921      44       2607.35      4050.60      6657.95
1921      45       2415.06      3779.62      6194.68
1921      46       2245.60      3542.58      5788.18
1921      47       2116.52      3357.98      5474.50
1921      48       2012.92      3207.05      5219.97
1921      49       1909.84      3061.52      4971.36
1921      50       1814.17      2915.92      4730.09
1921      51       1717.65      2760.35      4478.00
1921      52       1606.40      2567.74      4174.14
1921      53       1487.37      2346.09      3833.46
1921      54       1381.56      2150.93      3532.49
1921      55       1279.52      1955.85      3235.37
1921      56       1194.92      1790.27      2985.19
1921      57       1134.81      1691.18      2825.99
1921      58       1095.33      1629.86      2725.19
1921      59       1057.79      1561.35      2619.14
1921      60       1020.36      1511.36      2531.72
1921      61        969.95      1449.44      2419.39
1921      62        890.48      1342.69      2233.17
1921      63        801.82      1202.35      2004.17
1921      64        725.97      1076.88      1802.85
1921      65        647.62       954.72      1602.34
1921      66        578.61       850.05      1428.66
1921      67        523.81       767.89      1291.70
1921      68        473.88       692.22      1166.10
1921      69        428.70       623.60      1052.30
1921      70        386.66       557.26       943.92
1921      71        343.39       491.86       835.25
1921      72        305.43       429.99       735.42
1921      73        267.12       379.08       646.20
1921      74        226.26       331.68       557.94
1921      75        187.65       285.18       472.83
1921      76        160.73       248.77       409.50
1921      77        143.06       212.99       356.05
1921      78        128.45       176.48       304.93
1921      79        115.71       143.42       259.13
1921      80        109.43       134.65       244.08
1921      81         96.29       105.71       202.00
1921      82         85.17        89.50       174.67
1921      83         72.96        78.58       151.54
1921      84         60.75        64.86       125.61
1921      85         49.68        49.19        98.87
1921      86         39.49        40.44        79.93
1921      87         36.08        32.29        68.37
1921      88         27.76        24.94        52.70
1921      89         14.31        14.06        28.37
1921      90         10.06         8.55        18.61
1921      91          6.83         8.54        15.37
1921      92          4.94         8.93        13.87
1921      93          6.21         6.71        12.92
1921      94          5.68         5.35        11.03
1921      95          3.52         2.41         5.93
1921      96          2.88         1.00         3.88
1921      97          1.75         0.49         2.24
1921      98          0.00         1.05         1.05
1921      99          1.00         2.00         3.00
1921     100          0.00         0.95         0.95
1921     101          0.00         0.00         0.00
1921     102          0.00         0.00         0.00
1921     103          0.00         0.00         0.00
1921     104          0.00         0.00         0.00
1921     105          0.00         0.00         0.00
1921     106          0.00         0.00         0.00
1921     107          0.00         0.00         0.00
1921     108          0.00         0.00         0.00
1921     109          0.00         0.00         0.00
1921     110+         0.00         0.00         0.00
1922       0       7302.78      7451.27     14754.05
1922       1       7655.26      7828.75     15484.01
1922       2       7876.75      8069.57     15946.32
1922       3       7981.90      8189.73     16171.63
1922       4       7983.32      8202.31     16185.63
1922       5       7893.90      8122.40     16016.30
1922       6       7728.65      7962.82     15691.47
1922       7       7498.24      7738.66     15236.90
1922       8       7218.92      7464.17     14683.09
1922       9       6901.93      7153.60     14055.53
1922      10       6550.85      6807.53     13358.38
1922      11       6165.86      6426.71     12592.57
1922      12       5819.54      6092.30     11911.84
1922      13       5546.04      5843.72     11389.76
1922      14       5326.20      5654.96     10981.16
1922      15       5101.37      5464.37     10565.74
1922      16       4883.53      5286.86     10170.39
1922      17       4695.36      5129.44      9824.80
1922      18       4544.27      4991.94      9536.21
1922      19       4425.60      4877.52      9303.12
1922      20       4321.76      4786.77      9108.53
1922      21       4228.93      4710.44      8939.37
1922      22       4180.09      4698.35      8878.44
1922      23       4189.83      4772.76      8962.59
1922      24       4237.75      4906.75      9144.50
